prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
62496,28002011000001105,6074,43052021,Calcichew D3 1000mg/800unit Once Daily chewable tablets (Takeda UK Ltd),Colecalciferol/Calcium carbonate,800iu + 2.5gram,Chewable tablet,Oral,09060400,Vitamin D,MÃ¤rz 2015
62793,26655211000001103,32546,31242021,Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets,Calcium carbonate/Colecalciferol,2.5gram + 880unit,Chewable tablet,Oral,09060400,Vitamin D,April 2015
63343,4933311000001104,0,14664020,Generic Crampex tablets,Colecalciferol/Calcium gluconate/Nicotinic acid,20microgram + 200mg + 20mg,Tablet,Oral,10020202,Other Muscle Relaxants,Juni 2015
64083,22624711000001109,0,16782021,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (DE Pharmaceuticals),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,August 2015
66627,528811000001101,862,08002020,Calceos chewable tablets (Provalis Healthcare Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Juli 2016
66710,32419711000001100,1057,65972021,"Colecalciferol 1,000unit / Calcium carbonate 2.5g chewable tablets",Colecalciferol/Calcium carbonate,1000iu + 2.5gram,Chewable tablet,Oral,09060400,Vitamin D,Juli 2016
66917,32400711000001109,36040,65973021,"Calci-D 1000mg/1,000unit chewable tablets (Consilient Health Ltd)",Colecalciferol/Calcium carbonate,1000iu + 2.5gram,Chewable tablet,Oral,09060400,Vitamin D,Juli 2016
67010,24448211000001103,45,26401021,Valupak Calcium & Vitamin D tablets (BR Pharmaceuticals Ltd),Colecalciferol/Calcium carbonate,100unit + 400mg,Tablet,Oral,09060400,Vitamin D,August 2016
67246,13799911000001100,1,35169020,Lloydspharmacy Calcium & Vitamin D tablets (Lloyds Pharmacy Ltd),Colecalciferol/Calcium carbonate,100unit + 400mg,Tablet,Oral,09060400,Vitamin D,August 2016
67357,9155611000001106,1,08004020,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (Kent Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,August 2016
67358,16442011000001103,115,08012020,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (A A H Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,August 2016
69502,33657611000001100,26,71123021,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (Alliance Healthcare (Distribution) Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,Mai 2017
69813,34216011000001100,9,75794021,Haliborange Kids Vitamin D Calcium softies chewable tablets (Seven Seas Ltd),Colecalciferol/Calcium phosphate,200unit + 250mg,Chewable tablet,Oral,09040251/09060400,Nutritional Supplements/Vitamin D,Juni 2017
70307,15977311000001103,0,08007020,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (Zanza Specials International Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,September 2017
70474,34608211000001107,27829,77477021,Accrete D3 One a Day 1000mg/880unit chewable tablets (Internis Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,2.5gram + 880unit,Chewable tablet,Oral,09060400,Vitamin D,Oktober 2017
70817,34235511000001107,4,75792021,Colecalciferol 200unit / Calcium phosphate 250mg chewable tablets,Colecalciferol/Calcium phosphate,200unit + 250mg,Chewable tablet,Oral,09040251/09060400,Nutritional Supplements/Vitamin D,Dezember 2017
71508,34782611000001104,22,78248021,Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets (A A H Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Januar 2018
73997,5529011000001101,1047,08003020,Calcichew D3 Forte chewable tablets (Dowelhurst Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,Dezember 2018
74836,14304911000001101,98,08006020,Calcichew D3 Forte chewable tablets (Sigma Pharmaceuticals Plc),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,Februar 2019
76446,15214511000001107,5,36021020,Generic Sandocal+D 600 effervescent tablets,Colecalciferol/Calcium carbonate/Calcium lactate gluconate,400unit + 1.05gram + 1.358gram,Effervescent tablet,Oral,09060400,Vitamin D,Mai 2019
79405,100255001000027107,17,61045020,Calciferol with calcium tablets,Vitamin D/Calcium,,,,09060400,Vitamin D,Dezember 2019
80030,34967311000001102,3,79162021,SunVit-D3 400unit with Calcium 500mg chewable tablets (SunVit-D3 Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,Februar 2020
1142,329145004,45418,59291020,Calcium lactate 300mg tablets,Calcium lactate,300mg,Tablet,Oral,09050101,Calcium Supplements,Februar 2009
1166,117695001000027108,577,3861007,CALCIUM GLUCONATE 100 MG TAB,,,,,00000000,Unknown,Februar 2009
1563,284511000001107,543836,69130020,Calcichew 500mg chewable tablets (Takeda UK Ltd),Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,Februar 2009
2113,158425001000027103,44906,69131020,Calcichew Chewable tablet (Shire Pharmaceuticals Ltd),Calcium carbonate,2.5gram,Chewable tablet,Oral,09050101,Calcium Supplements,Februar 2009
2701,190211000001100,24171,51956020,Titralac 420mg tablets (3M Health Care Ltd),Calcium carbonate,420mg,Tablet,Oral,00000000,Unknown,Februar 2009
2864,27785001000027109,124439,51473020,Sandocal 400 Effervescent tablet (Novartis Consumer Health UK Ltd),Calcium lactate gluconate/Calcium carbonate,930.8mg + 700mg,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
3261,91955001000027104,575,2946007,CALCIUM LACTATE 200 MG TAB,,,,,00000000,Unknown,Februar 2009
3321,217255001000027101,57,81678020,Remegel 800mg Chewable tablet (SSL International Plc),Calcium carbonate,800mg,Chewable tablet,Oral,01010202,Indigestion Preparations,Februar 2009
3330,329161002,30604,72508020,Calcium carbonate 1.25g effervescent tablets sugar free,Calcium carbonate,1.25gram,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
3482,329141008,16543,59287020,Calcium gluconate 600mg tablets,Calcium gluconate,600mg,Tablet,Oral,09050101,Calcium Supplements,Februar 2009
3515,91995001000027105,1240,2947007,CALCIUM LACTATE 600 MG TAB,,,,,00000000,Unknown,Februar 2009
3568,3241511000001108,20612,72984020,Calcium 500 tablets (Martindale Pharmaceuticals Ltd),Calcium carbonate,1.25gram,Tablet,Oral,09050101,Calcium Supplements,Februar 2009
3833,124245001000027109,569,4120007,CALCIUM GLUBIONATE/CALCIUM LACTOBIONATE ELI,,,,,00000000,Unknown,Februar 2009
4023,329142001,15132,58973020,Calcium gluconate 1g effervescent tablets,Calcium gluconate,1gram,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
4212,104145001000027105,1115,3396007,CALCIUM 500 MG CAP,,,,,00000000,Unknown,Februar 2009
4240,177475001000027107,62,71900020,Nulacin Tablet (Goldshield Pharmaceuticals Ltd),Calcium Carbonate/Milk/Magnesium,,Tablet,Oral,01010202,Indigestion Preparations,Februar 2009
4479,27795001000027108,84447,51474020,Sandocal 1000 Effervescent tablet (Novartis Consumer Health UK Ltd),Calcium lactate gluconate/Calcium carbonate,2.263gram + 1.75gram,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
4890,329153007,174969,69125020,Calcium carbonate 1.25g chewable tablets sugar free,Calcium carbonate,1.25gram,Chewable tablet,Oral,09050101,Calcium Supplements,Februar 2009
5043,685111000001101,36964,72511020,Cacit 500mg effervescent tablets (Accord Healthcare Ltd),Calcium carbonate,1.25gram,Effervescent tablet,Oral,09050101,Calcium Supplements,Februar 2009
5088,329162009,25863,60340020,Calcium carbonate 1.25g tablets,Calcium carbonate,1.25gram,Tablet,Oral,09050101,Calcium Supplements,Februar 2009
5630,3248311000001109,2110,69542020,Calcidrink 2.5g granules sachets (Shire Pharmaceuticals Ltd),Calcium carbonate,2.5gram,Granules,Oral,00000000,Unknown,Februar 2009
5995,3242511000001100,150548,79250020,Adcal 1500mg chewable tablets (Kyowa Kirin Ltd),Calcium carbonate,1.5gram,Chewable tablet,Oral,09050101,Calcium Supplements,Februar 2009
6358,179611000001102,39293,53452020,Calcium-Sandoz syrup (Alliance Pharmaceuticals Ltd),Calcium glubionate/Calcium lactobionate,218mg/1ml + 145.4mg/1ml,Oral solution,Oral,06060000/09050101,Products Affecting Bone Metabolism/Calcium Supplements,Februar 2009
6916,329159006,68956,49518020,Calcium carbonate 1.5g chewable tablets sugar free,Calcium carbonate,1.5gram,Chewable tablet,Oral,09050101,Calcium Supplements,Februar 2009
8028,171045001000027104,1215,5909007,CALCIUM LACTATE GLUCONATE 3.08 GM TAB,,,,,00000000,Unknown,Februar 2009
8999,104115001000027103,47,3395007,CALCIUM LACTATE 250 MG TAB,,,,,00000000,Unknown,Februar 2009
9141,91895001000027104,709,2944007,CALCIUM GLUCONATE 300 MG TAB,,,,,00000000,Unknown,Februar 2009
9406,4559611000001101,5888,75852020,Calcium carbonate 500mg chewable tablets,Calcium carbonate,500mg,Chewable tablet,Oral,01010100,Antacids And Simeticone,Februar 2009
9541,329160001,27066,69126020,Calcium carbonate 2.5g chewable tablets sugar free,Calcium carbonate,2.5gram,Chewable tablet,Oral,09050101,Calcium Supplements,Februar 2009
10614,329188007,3850,72050020,Calcium carbonate 420mg tablets,Calcium carbonate,420mg,Tablet,Oral,00000000,Unknown,Februar 2009
12314,91855001000027105,886,2943007,CALCIUM GLUCONATE 500 MG TAB,,,,,00000000,Unknown,Februar 2009
