prodcode,productname
44527,Captopril 5mg/ml oral solution sugar free
45228,Captopril capsules
46851,Captopril 5mg/5ml oral solution
46951,Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd)
46957,Captopril 12.5mg tablets (Tillomed Laboratories Ltd)
52293,Captopril 2mg capsules
52499,Captopril 25mg/5ml oral solution
54544,Captopril 25mg/5ml oral suspension
56509,Capoten 12.5mg tablets (Dowelhurst Ltd)
56850,Ecopace 12.5mg tablets (Advanz Pharma)
58195,Captopril 12.5mg/5ml oral solution
59699,Captopril 5mg/5ml oral solution sugar free
59915,Captopril 25mg/5ml oral solution sugar free
60349,Noyada 25mg/5ml oral solution (Martindale Pharmaceuticals Ltd)
60823,Noyada 5mg/5ml oral solution (Martindale Pharmaceuticals Ltd)
64739,Captopril 25mg/5ml oral solution (Special Order)
66597,Captopril 10mg/5ml oral suspension
69192,Captopril oral solution
69599,Captopril 500micrograms/5ml oral suspension
69600,Captopril 1mg/5ml oral suspension
70994,Captopril 12.5mg tablets (Sandoz Ltd)
71277,Captopril 7.5mg/5ml oral suspension
73659,Captopril 50mg tablets (Kent Pharmaceuticals Ltd)
74417,Captopril 20mg/5ml oral suspension
74627,Captopril 25mg Tablet (C P Pharmaceuticals Ltd)
76433,Captopril 1.5mg capsules
77046,Captopril 3mg oral powder sachets
77361,Capoten 25mg tablets (Waymade Healthcare Plc)
77364,Capoten 25mg tablets (Stephar (U.K.) Ltd)
77400,Capoten 25mg tablets (Mawdsley-Brooks & Company Ltd)
77410,Capoten 50mg tablets (Dowelhurst Ltd)
77415,Capoten 50mg tablets (Waymade Healthcare Plc)
77597,Captopril 50mg/5ml oral suspension
79334,Captopril 500micrograms/5ml oral solution
196,Enalapril 5mg tablets
448,Enalapril 2.5mg tablets
1299,Enalapril 10mg tablets
1904,Enalapril 20mg tablets
3509,ENALAPRIL MALEATE 40 MG TAB
8105,Innovace 20mg tablets (Merck Sharp & Dohme Ltd)
8106,Innovace 2.5mg tablets (Merck Sharp & Dohme Ltd)
8800,Innovace 5mg tablets (Merck Sharp & Dohme Ltd)
8830,Innovace 10mg tablets (Merck Sharp & Dohme Ltd)
11197,Innovace melt 5mg Wafer (Merck Sharp & Dohme Ltd)
13755,Enalapril 10mg wafer
15085,Innovace Titration pack (Merck Sharp & Dohme Ltd)
16708,Enalapril titration pack
19208,Enalapril 10mg tablets (Actavis UK Ltd)
20188,Enalapril 2.5mg wafer
22439,Ednyt 20mg Tablet (Dominion Pharma)
22708,Enalapril 5mg wafer
23252,Pralenal 10 tablets (Opus Pharmaceuticals Ltd)
24041,Enalapril 20mg wafer
27871,Innovace melt 10mg Wafer (Merck Sharp & Dohme Ltd)
27890,ENALAPRIL MALEATE
28127,Enalapril 2.5mg tablets (Teva UK Ltd)
29530,Innovace melt 2.5mg Wafer (Merck Sharp & Dohme Ltd)
31587,Innovace melt 20mg Wafer (Merck Sharp & Dohme Ltd)
31716,Enalapril 20mg tablets (Actavis UK Ltd)
32241,Enalapril 10mg tablets (A A H Pharmaceuticals Ltd)
33057,Ednyt 5mg Tablet (Dominion Pharma)
33078,Enalapril 20mg tablets (A A H Pharmaceuticals Ltd)
34400,Enalapril 5mg Tablet (Dowelhurst Ltd)
34453,Enalapril 20mg tablets (Mylan)
34712,Enalapril 20mg tablets (Kent Pharmaceuticals Ltd)
34768,Enalapril 20mg tablets (IVAX Pharmaceuticals UK Ltd)
34798,Enalapril 20mg tablets (Sandoz Ltd)
34952,Enalapril 10mg tablets (Mylan)
34953,Enalapril 20mg tablets (Zentiva)
35794,Enalapril 5mg tablets (A A H Pharmaceuticals Ltd)
36753,Ednyt 10mg Tablet (Dominion Pharma)
37080,Enalapril 5mg/5ml oral solution
37087,Enalapril 5mg/5ml oral suspension
41417,Enalapril 2.5mg tablets (A A H Pharmaceuticals Ltd)
41694,Enalapril 2.5mg tablets (IVAX Pharmaceuticals UK Ltd)
41746,Enalapril 10mg tablets (Sandoz Ltd)
42723,Pralenal 5 tablets (Opus Pharmaceuticals Ltd)
42894,Enalapril 10mg tablets (Teva UK Ltd)
42901,Enalapril 5mg tablets (Teva UK Ltd)
42902,Enalapril 20mg tablets (Teva UK Ltd)
42908,Enalapril 5mg tablets (IVAX Pharmaceuticals UK Ltd)
43411,Enalapril 5mg tablets (Sandoz Ltd)
43563,Enalapril 2.5mg tablets (Zentiva)
44657,Ednyt 2.5mg Tablet (Dominion Pharma)
45217,Enalapril 5mg tablets (Kent Pharmaceuticals Ltd)
46974,Enalapril 5mg tablets (Mylan)
50334,Enalapril 4mg/5ml oral suspension
50780,Enalapril 2mg/5ml oral solution
50863,Enalapril 5mg/5ml oral solution (Drug Tariff Special Order)
52010,Enalapril 10mg tablets (Alliance Healthcare (Distribution) Ltd)
52882,Enalapril 5mg/5ml oral suspension sugar free
53719,Enalapril 20mg tablets (Alliance Healthcare (Distribution) Ltd)
53915,Enalapril 5mg tablets (Dexcel-Pharma Ltd)
55903,Enalapril 10mg tablets (Dexcel-Pharma Ltd)
57378,Enalapril 2mg/5ml oral suspension
57882,Enalapril 2.5mg/5ml oral suspension
58751,Enalapril 1.25mg/5ml oral suspension
59996,Enalapril 20mg tablets (Milpharm Ltd)
60143,Enalapril 5mg tablets (Medreich Plc)
61133,Enalapril 10mg tablets (Phoenix Healthcare Distribution Ltd)
62860,Enalapril 5mg tablets (DE Pharmaceuticals)
63322,Enalapril 10mg tablets (Almus Pharmaceuticals Ltd)
64062,Enalapril 1mg/5ml oral suspension
64877,Enalapril 2.5mg tablets (Dexcel-Pharma Ltd)
66895,Enalapril 10mg/5ml oral suspension
68496,Enalapril 10mg tablets (Kent Pharmaceuticals Ltd)
71668,Enalapril 20mg tablets (Almus Pharmaceuticals Ltd)
71737,Enalapril 2.5mg tablets (Almus Pharmaceuticals Ltd)
72017,Enalapril 1.25mg/5ml oral solution
73389,Enalapril 2.5mg tablets (DE Pharmaceuticals)
73617,Enalapril 1.5mg/5ml oral suspension
74237,Enalapril 25mg/5ml oral solution
76486,Enalapril 2.5mg tablets (Mylan)
76619,Enalapril 20mg tablets (Dexcel-Pharma Ltd)
77271,Enalapril 20mg Tablet (Neo Laboratories Ltd)
77315,Enalapril 2.5mg/5ml oral solution
77316,Enalapril 4mg/5ml oral solution
77345,Innovace 10mg tablets (Dowelhurst Ltd)
77690,Enalapril 10mg tablets (IVAX Pharmaceuticals UK Ltd)
77831,Enalapril 500micrograms/5ml oral solution
80051,Enalapril 25mg/5ml oral suspension
65,Lisinopril 10mg tablets
69,Lisinopril 20mg tablets
78,Lisinopril 5mg tablets
277,Lisinopril 2.5mg tablets
3720,Zestril 2.5mg tablets (AstraZeneca UK Ltd)
6806,Zestril 10mg tablets (AstraZeneca UK Ltd)
6807,Zestril 5mg tablets (AstraZeneca UK Ltd)
8268,Zestril 20mg tablets (AstraZeneca UK Ltd)
10882,Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
11987,Lisinopril 5mg/5ml oral solution
12313,Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
14387,Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
16701,Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
19198,Lisinopril 20mg tablets (Teva UK Ltd)
19204,Lisinopril 5mg tablets (Teva UK Ltd)
19223,Lisinopril 10mg tablets (Teva UK Ltd)
20975,Lisinopril 7.5mg/5ml oral suspension
22004,CARACE (SPECIAL COMPLIANCE PACK)
23382,CARACE (SPECIAL COMPLIANCE PACK)
24693,CARACE (SPECIAL COMPLIANCE PACK)
30921,Lisinopril 2.5mg tablets (Teva UK Ltd)
32597,Lisinopril 10mg tablets (Sandoz Ltd)
33977,Lisinopril 10mg tablets (Mylan)
34471,Lisinopril 5mg tablets (Mylan)
34696,Lisinopril 20mg tablets (Mylan)
34799,Lisinopril 20mg tablets (Zentiva)
37778,Lisinopril 5mg/5ml oral suspension
41522,Lisopress 20mg tablets (Teva UK Ltd)
41532,Lisopress 5mg tablets (Teva UK Ltd)
41538,Lisopress 2.5mg tablets (Teva UK Ltd)
41573,Lisopress 10mg tablets (Teva UK Ltd)
43412,Lisinopril 2.5mg tablets (A A H Pharmaceuticals Ltd)
43413,Lisinopril 20mg tablets (A A H Pharmaceuticals Ltd)
43416,Lisinopril 10mg tablets (A A H Pharmaceuticals Ltd)
43418,Lisinopril 5mg tablets (A A H Pharmaceuticals Ltd)
43566,Lisinopril 2.5mg tablets (Sandoz Ltd)
45300,Lisinopril 10mg tablets (Actavis UK Ltd)
45324,Lisinopril 20mg tablets (Actavis UK Ltd)
45337,Lisinopril 5mg tablets (Actavis UK Ltd)
45816,Lisinopril 5mg tablets (Almus Pharmaceuticals Ltd)
46975,Lisinopril 5mg tablets (Sandoz Ltd)
46979,Lisinopril 20mg tablets (Sandoz Ltd)
47159,Lisinopril 10mg tablets (Almus Pharmaceuticals Ltd)
51433,Lisinopril 20mg tablets (Tillomed Laboratories Ltd)
52088,Lisinopril 5mg tablets (Phoenix Healthcare Distribution Ltd)
53271,Lisinopril 10mg tablets (Alliance Healthcare (Distribution) Ltd)
53551,Lisinopril 20mg tablets (Phoenix Healthcare Distribution Ltd)
53820,Lisinopril 5mg tablets (Arrow Generics Ltd)
54037,Lisinopril 10mg tablets (Relonchem Ltd)
54283,Lisinopril 5mg/5ml oral suspension (Special Order)
54288,Lisinopril 10mg tablets (Arrow Generics Ltd)
54512,Lisinopril Oral solution
54928,Lisinopril 10mg tablets (Bristol Laboratories Ltd)
55002,Lisinopril 20mg tablets (Accord Healthcare Ltd)
55456,Lisinopril 5mg tablets (Alliance Healthcare (Distribution) Ltd)
55588,Lisinopril 20mg tablets (Sigma Pharmaceuticals Plc)
55639,Lisinopril 10mg tablets (Accord Healthcare Ltd)
55896,Lisinopril 2.5mg tablets (Actavis UK Ltd)
56279,Lisinopril 2.5mg/5ml oral solution
56505,Zestril 5mg tablets (Lexon (UK) Ltd)
56510,Zestril 20mg tablets (Sigma Pharmaceuticals Plc)
57048,Lisinopril 10mg tablets (Zentiva)
57588,Zestril 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
58258,Lisinopril 2.5mg/5ml oral suspension
58294,Lisinopril 5mg tablets (Accord Healthcare Ltd)
58451,Lisinopril 2.5mg tablets (Almus Pharmaceuticals Ltd)
58461,Lisinopril 2.5mg tablets (Kent Pharmaceuticals Ltd)
58682,Lisinopril 2.5mg tablets (Mylan)
58863,Lisinopril 10mg tablets (Phoenix Healthcare Distribution Ltd)
58871,Lisinopril 10mg tablets (Waymade Healthcare Plc)
59109,Lisinopril 5mg tablets (Tillomed Laboratories Ltd)
59111,Lisinopril 20mg tablets (Alliance Healthcare (Distribution) Ltd)
60010,Lisinopril 10mg tablets (Kent Pharmaceuticals Ltd)
60097,Lisinopril 2.5mg tablets (Zentiva)
60232,Lisinopril 5mg tablets (Zentiva)
60309,Lisinopril 5mg tablets (Relonchem Ltd)
61262,Lisinopril 20mg tablets (Bristol Laboratories Ltd)
62564,Lisinopril 10mg/5ml oral solution
63030,Lisinopril 10mg tablets (DE Pharmaceuticals)
63559,Lisinopril 20mg tablets (Kent Pharmaceuticals Ltd)
63824,Lisinopril 10mg/5ml oral suspension
64902,Lisinopril 5mg/5ml oral solution sugar free
65102,Lisinopril 10mg tablets (Sigma Pharmaceuticals Plc)
65416,Lisinopril 5mg tablets (Lupin Healthcare (UK) Ltd)
65536,Lisinopril 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
65983,Lisinopril 2.5mg tablets (Lupin Healthcare (UK) Ltd)
65985,Lisinopril 2.5mg tablets (DE Pharmaceuticals)
66558,Lisinopril 5mg tablets (DE Pharmaceuticals)
66622,Lisinopril 20mg tablets (DE Pharmaceuticals)
66772,Lisinopril 2.5mg tablets (Waymade Healthcare Plc)
67075,Lisinopril 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
67194,Lisinopril 2.5mg tablets (Bristol Laboratories Ltd)
67795,Lisinopril 20mg tablets (Almus Pharmaceuticals Ltd)
68094,Lisinopril 5mg tablets (Sigma Pharmaceuticals Plc)
68247,Lisinopril 5mg tablets (Bristol Laboratories Ltd)
69074,Lisinopril 20mg tablets (Relonchem Ltd)
69269,Lisinopril 20mg tablets (Waymade Healthcare Plc)
70667,Lisinopril 5mg tablets (Mawdsley-Brooks & Company Ltd)
71562,Lisinopril 10mg Tablet (Niche Generics Ltd)
72038,Lisinopril 2.5mg tablets (Relonchem Ltd)
72336,Lisinopril 5mg tablets (Waymade Healthcare Plc)
73672,Lisinopril 10mg tablets (Aurobindo Pharma Ltd)
73716,Lisinopril 2.5mg tablets (Crescent Pharma Ltd)
74155,Lisinopril 5mg tablets (Aurobindo Pharma Ltd)
76100,Lisinopril 5mg tablets (Kent Pharmaceuticals Ltd)
76128,Lisinopril 20mg tablets (Lupin Healthcare (UK) Ltd)
77378,Zestril 10mg tablets (Dowelhurst Ltd)
77401,Zestril 2.5mg tablets (Waymade Healthcare Plc)
77402,Zestril 5mg tablets (Dowelhurst Ltd)
77407,Zestril 5mg tablets (Waymade Healthcare Plc)
78252,Lisinopril 20mg/5ml oral suspension
78524,Lisinopril 10mg tablets (Tillomed Laboratories Ltd)
78808,Lisinopril 5mg tablets (Ranbaxy (UK) Ltd)
79206,Lisinopril 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
79361,Lisinopril 2.5mg Tablet (Niche Generics Ltd)
97,Perindopril erbumine 4mg tablets
593,Perindopril erbumine 2mg tablets
2927,PERINDOPRIL/TERT-BUTYLAMINE 2 MG TAB
5612,Coversyl 2mg tablets (Servier Laboratories Ltd)
5800,Coversyl 4mg tablets (Servier Laboratories Ltd)
6078,Perindopril erbumine 8mg tablets
11983,Perindopril erbumine 4mg/5ml oral suspension
14960,Coversyl 8mg tablets (Servier Laboratories Ltd)
33095,Perindopril erbumine 4mg tablets (A A H Pharmaceuticals Ltd)
35731,Perindopril erbumine 8mg tablets (A A H Pharmaceuticals Ltd)
37930,Perindopril arginine 5mg tablets
37964,Perindopril arginine 2.5mg tablets
37965,Coversyl Arginine 5mg tablets (Servier Laboratories Ltd)
37971,Perindopril arginine 10mg tablets
38026,Coversyl Arginine 10mg tablets (Servier Laboratories Ltd)
38034,Coversyl Arginine 2.5mg tablets (Servier Laboratories Ltd)
38285,Perindopril erbumine 4mg tablets (Teva UK Ltd)
38510,Perindopril erbumine 4mg tablets (Apotex UK Ltd)
43012,Perindopril erbumine oral solution
43813,Perindopril erbumine 2mg tablets (Actavis UK Ltd)
45319,Perindopril erbumine 2mg tablets (A A H Pharmaceuticals Ltd)
45938,Perindopril erbumine 8mg tablets (Teva UK Ltd)
48049,Perindopril erbumine 2mg tablets (Mylan)
48180,Perindopril erbumine 4mg tablets (Sandoz Ltd)
48214,Perindopril erbumine 4mg tablets (Actavis UK Ltd)
49491,Perindopril erbumine 2mg tablets (Consilient Health Ltd)
50347,Coversyl Arginine 5mg tablets (Waymade Healthcare Plc)
50402,Perindopril 2mg Tablet (Servier Laboratories Ltd)
51807,Coversyl Arginine 5mg tablets (DE Pharmaceuticals)
53058,Perindopril erbumine 8mg tablets (Sandoz Ltd)
54733,Perindopril erbumine 8mg tablets (Consilient Health Ltd)
54899,Perindopril erbumine 2mg tablets (Teva UK Ltd)
54942,Perindopril erbumine 8mg tablets (Mylan)
54986,Perindopril erbumine 8mg/5ml oral suspension
56079,Perindopril tosilate 10mg tablets
56162,Perindopril erbumine 4mg tablets (Consilient Health Ltd)
56472,Perindopril erbumine 4mg tablets (Kent Pharmaceuticals Ltd)
56473,Perindopril erbumine 2mg tablets (Sigma Pharmaceuticals Plc)
56506,Coversyl 2mg tablets (Dowelhurst Ltd)
56508,Coversyl 4mg tablets (Dowelhurst Ltd)
56516,Perindopril erbumine 2mg tablets (Sandoz Ltd)
57333,Perindopril tosilate 5mg tablets
57701,Perindopril erbumine 8mg tablets (Actavis UK Ltd)
57801,Perindopril erbumine 4mg tablets (Glenmark Pharmaceuticals Europe Ltd)
57944,Perindopril tosilate 2.5mg tablets
58843,Perindopril erbumine 2mg tablets (Kent Pharmaceuticals Ltd)
58874,Perindopril erbumine 2mg tablets (Somex Pharma)
59770,Perindopril erbumine 4mg tablets (Aurobindo Pharma Ltd)
59790,Perindopril erbumine 8mg tablets (Accord Healthcare Ltd)
59972,Perindopril erbumine 2mg tablets (Alliance Healthcare (Distribution) Ltd)
60065,Perindopril erbumine 4mg tablets (Sigma Pharmaceuticals Plc)
61117,Perindopril erbumine 4mg/5ml oral solution
61270,Perindopril erbumine 4mg tablets (Accord Healthcare Ltd)
61693,Perindopril erbumine 8mg tablets (Aurobindo Pharma Ltd)
64602,Perindopril erbumine 2mg tablets (Waymade Healthcare Plc)
65273,Perindopril erbumine 4mg tablets (Mylan)
66060,Perindopril erbumine 2mg tablets (DE Pharmaceuticals)
67269,Coversyl 2mg tablets (Waymade Healthcare Plc)
67789,Perindopril erbumine 2mg tablets (Accord Healthcare Ltd)
68021,Perindopril erbumine 4mg tablets (Alliance Healthcare (Distribution) Ltd)
68381,Perindopril erbumine 4mg tablets (Mawdsley-Brooks & Company Ltd)
68759,Perindopril erbumine 2mg tablets (Aurobindo Pharma Ltd)
69016,Perindopril erbumine 8mg tablets (DE Pharmaceuticals)
70916,Perindopril erbumine 8mg tablets (Glenmark Pharmaceuticals Europe Ltd)
70917,Perindopril erbumine 2mg tablets (Glenmark Pharmaceuticals Europe Ltd)
71004,Perindopril erbumine 8mg tablets (Accord Healthcare Ltd)
72295,Perindopril 2mg Tablet (Neo Laboratories Ltd)
72941,Perindopril erbumine 1mg/5ml oral suspension
75021,Perindopril erbumine 4mg tablets (Ranbaxy (UK) Ltd)
75024,Perindopril erbumine 4mg tablets (Phoenix Healthcare Distribution Ltd)
75847,Perindopril erbumine 8mg/5ml oral solution
77665,Perindopril erbumine 8mg tablets (Somex Pharma)
79005,Perindopril erbumine 4mg tablets (Waymade Healthcare Plc)
79006,Perindopril erbumine 4mg tablets (Somex Pharma)
79485,Perindopril erbumine 8mg tablets (Kent Pharmaceuticals Ltd)
79531,Perindopril tosilate 5mg tablets (Teva UK Ltd)
79828,Perindopril 4mg Tablet (Servier Laboratories Ltd)
80208,Coversyl Arginine 10mg tablets (DE Pharmaceuticals)
80,Ramipril 5mg capsules
82,Ramipril 10mg capsules
147,Ramipril 1.25mg capsules
654,Ramipril 2.5/5mg/10mg capsule
709,Ramipril 2.5mg capsules
756,Ramipril 10mg tablets
761,Ramipril 1.25mg tablets
5275,Tritace 2.5mg capsules (Sanofi)
5735,Tritace 5mg capsules (Sanofi)
6200,Tritace titration pack capsules (Sanofi)
6261,Tritace 1.25mg tablets (Sanofi)
6288,Ramipril 5mg tablets
6314,Ramipril 2.5mg tablets
6362,Tritace 5mg tablets (Sanofi)
6364,Tritace 2.5mg tablets (Sanofi)
9646,Tritace 1.25mg capsules (Aventis Pharma)
9693,Tritace 10mg capsules (Sanofi)
9915,Tritace 10mg tablets (Sanofi)
11937,Ramipril 2.5mg/5ml oral suspension
22882,RAMIPRIL
24214,TRITACE 1.25 MG TAB
28586,Lopace 5mg capsules (Discovery Pharmaceuticals)
29627,Lopace 2.5mg capsules (Discovery Pharmaceuticals)
29964,TRITACE 2.5 MG TAB
31288,TRITACE
32857,Ramipril 1.25mg capsules (Teva UK Ltd)
32934,Lopace 10mg capsules (Discovery Pharmaceuticals)
33811,Ramipril 2.5mg capsules (Ranbaxy (UK) Ltd)
33894,Ramipril 10mg capsules (Teva UK Ltd)
34357,Ramipril 10mg capsules (Genus Pharmaceuticals Ltd)
34382,Ramipril 5mg capsules (Zentiva)
34390,Ramipril 5mg capsules (Genus Pharmaceuticals Ltd)
34412,Ramipril 5mg capsules (Teva UK Ltd)
34429,Ramipril 5mg capsules (Mylan)
34431,Ramipril 2.5mg capsules (Zentiva)
34432,Ramipril 2.5mg capsules (Genus Pharmaceuticals Ltd)
34490,Ramipril 2.5mg capsules (Teva UK Ltd)
34505,Ramipril 2.5mg capsules (Sandoz Ltd)
34528,Ramipril 2.5mg capsules (A A H Pharmaceuticals Ltd)
34539,Ramipril 5mg capsules (Sandoz Ltd)
34540,Ramipril 5mg capsules (A A H Pharmaceuticals Ltd)
34567,Ramipril 2.5mg capsules (Mylan)
34583,Ramipril 10mg Capsule (Dexcel-Pharma Ltd)
34589,Ramipril 5mg Capsule (Dexcel-Pharma Ltd)
34651,Ramipril 10mg capsules (Mylan)
34652,Ramipril 5mg Capsule (Sovereign Medical Ltd)
34657,Ramipril 10mg capsules (Zentiva)
34698,Ramipril 1.25mg capsules (Zentiva)
34710,Ramipril 10mg capsules (Sandoz Ltd)
34732,Ramipril 2.5mg Capsule (Dexcel-Pharma Ltd)
34877,Ramipril 10mg Capsule (Sovereign Medical Ltd)
34893,Ramipril 10mg Capsule (IVAX Pharmaceuticals UK Ltd)
34943,Ramipril 10mg capsules (A A H Pharmaceuticals Ltd)
35007,Ramipril 10mg/5ml oral suspension
38308,Ramipril 2.5/5mg/10mg tablet
39355,Tritace 10mg Tablet (Sterwin Medicines)
39421,Tritace titration pack tablets (Sanofi)
40384,Ramipril 10mg tablets (A A H Pharmaceuticals Ltd)
42081,Tritace 1.25mg Tablet (Sterwin Medicines)
45264,Ramipril 1.25mg capsules (Actavis UK Ltd)
45340,Ramipril 10mg Capsule (Actavis UK Ltd)
45554,Ramipril 5mg/5ml oral solution
46890,Ramipril 5mg/5ml oral suspension
47021,Ramipril 2.5mg/5ml oral solution sugar free
47998,Ramipril 2.5mg capsules (Actavis UK Ltd)
48008,Ramipril 5mg capsules (Actavis UK Ltd)
48053,Ramipril 2.5mg capsules (Almus Pharmaceuticals Ltd)
49164,Ramipril 10mg capsules (Actavis UK Ltd)
50509,Ramipril 10mg/5ml oral solution
51701,Ramipril 5mg capsules (Bristol Laboratories Ltd)
51714,Ramipril 2.5mg capsules (Alliance Healthcare (Distribution) Ltd)
52197,Ramipril 5mg capsules (Sigma Pharmaceuticals Plc)
52399,Ramipril 1.25mg capsules (Kent Pharmaceuticals Ltd)
52407,Ramipril 10mg capsules (Kent Pharmaceuticals Ltd)
53612,Ramipril 10mg tablets (Alliance Healthcare (Distribution) Ltd)
53621,Ramipril 2.5mg capsules (Bristol Laboratories Ltd)
54298,Ramipril 2.5mg capsules (Arrow Generics Ltd)
54620,Ramipril 2.5mg capsules (Sigma Pharmaceuticals Plc)
54941,Ramipril 5mg capsules (Alliance Healthcare (Distribution) Ltd)
55299,Ramipril 1.25mg capsules (A A H Pharmaceuticals Ltd)
55798,Ramipril 5mg capsules (Waymade Healthcare Plc)
56013,Ramipril 2.5mg capsules (Waymade Healthcare Plc)
56038,Ramipril 10mg tablets (Pfizer Ltd)
56129,Ramipril 5mg capsules (Kent Pharmaceuticals Ltd)
56148,Ramipril 1.25mg tablets (Kent Pharmaceuticals Ltd)
56169,Ramipril 10mg capsules (Arrow Generics Ltd)
56356,Ramipril 10mg capsules (Alliance Healthcare (Distribution) Ltd)
56704,Ramipril 1.25mg capsules (Alliance Healthcare (Distribution) Ltd)
56763,Ramipril 10mg capsules (Phoenix Healthcare Distribution Ltd)
56855,Ramipril 10mg capsules (Sigma Pharmaceuticals Plc)
57073,Ramipril 1.25mg capsules (Waymade Healthcare Plc)
57235,Ramipril 1.25mg tablets (Sandoz Ltd)
57346,Ramipril 10mg capsules (Waymade Healthcare Plc)
57658,Ramipril 1.25mg tablets (A A H Pharmaceuticals Ltd)
57864,Ramipril 5mg tablets (Sigma Pharmaceuticals Plc)
59557,Ramipril 2.5mg capsules (Kent Pharmaceuticals Ltd)
59603,Ramipril 2.5mg capsules (Phoenix Healthcare Distribution Ltd)
59788,Ramipril 10mg capsules (Bristol Laboratories Ltd)
60730,Ramipril 5mg capsules (Phoenix Healthcare Distribution Ltd)
61067,Ramipril 5mg capsules (Almus Pharmaceuticals Ltd)
61339,Ramipril 10mg capsules (Almus Pharmaceuticals Ltd)
61499,Ramipril 2.5mg tablets (Actavis UK Ltd)
61694,Ramipril 5mg tablets (Zentiva)
61985,Ramipril 1.25mg tablets (Teva UK Ltd)
62036,Ramipril 5mg tablets (Waymade Healthcare Plc)
62039,Ramipril 1.25mg tablets (Zentiva)
62918,Ramipril 2.5mg/5ml oral solution
62958,Ramipril 5mg tablets (Teva UK Ltd)
63010,Ramipril 10mg tablets (Phoenix Healthcare Distribution Ltd)
63442,Ramipril 2.5mg tablets (Teva UK Ltd)
63594,Generic Tritace titration pack tablets
64055,Ramipril 2.5mg/5ml oral solution sugar free (Waymade Healthcare Plc)
65443,Ramipril 1.25mg Tablet (Sovereign Medical Ltd)
65599,Ramipril 5mg tablets (A A H Pharmaceuticals Ltd)
65749,Ramipril 5mg capsules (Ennogen Pharma Ltd)
65936,Ramipril 5mg capsules (DE Pharmaceuticals)
66162,Ramipril 10mg tablets (Teva UK Ltd)
66329,Ramipril oral solution
66669,Ramipril 10mg capsules (DE Pharmaceuticals)
67719,Ramipril 5mg capsules (Mawdsley-Brooks & Company Ltd)
67741,Ramipril 1.25mg capsules (Almus Pharmaceuticals Ltd)
68192,Ramipril 5mg capsules (Brown & Burk UK Ltd)
68372,Ramipril 5mg tablets (Actavis UK Ltd)
68480,Ramipril 10mg capsules (Mawdsley-Brooks & Company Ltd)
69288,Ramipril 10mg capsules (Brown & Burk UK Ltd)
