readcode,medcode,readterm,clinicalevents,immunisationevents,referralevents,testevents,databaserelease,_merge
S133100,51038,"open fracture pelvis, multiple pubic rami - stable",102,0,0,0,February 2009,matched (3)
S133200,101447,"open fracture pelvis, multiple pubic rami - unstable",12,0,0,0,January 2011,matched (3)
S133y00,94127,other specified open fracture of pubis,6,0,0,0,February 2009,matched (3)
S133z00,70674,open fracture of pubis nos,8,0,0,0,February 2009,matched (3)
S134.00,33961,other or multiple closed fracture of pelvis,235,0,4,0,February 2009,matched (3)
S134000,40643,"closed fracture of ilium, unspecified",153,0,2,0,February 2009,matched (3)
S134100,34708,"closed fracture pelvis, ischium",245,0,8,0,February 2009,matched (3)
S134300,41698,"closed fracture pelvis, ischial tuberosity",157,0,5,0,February 2009,matched (3)
S134400,28234,"closed fracture pelvis, anterior superior iliac spine",209,0,0,0,February 2009,matched (3)
S134500,40587,"closed fracture pelvis, anterior inferior iliac spine",176,0,0,0,February 2009,matched (3)
S134600,27854,"closed fracture pelvis, iliac wing",848,0,8,0,February 2009,matched (3)
S134700,52470,closed vertical fracture of ilium,6,0,0,0,February 2009,matched (3)
S134800,34195,closed fracture dislocation of sacro-iliac joint,120,0,1,0,February 2009,matched (3)
S134z00,11639,other or multiple closed fracture of pelvis nos,125,0,1,0,February 2009,matched (3)
S135.00,65084,other or multiple open fracture of pelvis,10,0,0,0,February 2009,matched (3)
S135000,96984,"open fracture of ilium, unspecified",4,0,0,0,June 2009,matched (3)
S135100,108000,"open fracture pelvis, ischium",2,0,0,0,May 2014,matched (3)
S135300,68763,"open fracture pelvis, ischial tuberosity",2,0,0,0,February 2009,matched (3)
S135400,43448,"open fracture pelvis, anterior superior iliac spine",8,0,0,0,February 2009,matched (3)
S135500,112187,"open fracture pelvis, anterior inferior iliac spine",2,0,0,0,September 2017,master only (1)
S135600,67669,"open fracture pelvis, iliac wing",26,0,1,0,February 2009,matched (3)
S135800,94655,open fracture dislocation of sacro-iliac joint,2,0,0,0,February 2009,matched (3)
S135y00,99203,other open fracture of pelvis,5,0,0,0,April 2010,matched (3)
S135z00,35018,other/multiple open fracture of pelvis nos,2,0,1,0,February 2009,matched (3)
S13y.00,28375,closed fracture of pelvis nos,3596,0,28,0,February 2009,matched (3)
S13z.00,64139,open fracture of pelvis nos,69,0,1,0,February 2009,matched (3)
S4J0100,34910,closed fracture-dislocation of pelvis,907,0,14,0,February 2009,matched (3)
S4J1100,45011,open fracture-dislocation of pelvis,49,0,0,0,February 2009,matched (3)
S4J2100,34212,closed fracture-subluxation of pelvis,271,0,4,0,February 2009,matched (3)
S4J3100,65297,open fracture-subluxation of pelvis,18,0,0,0,February 2009,matched (3)
SR11.00,45934,fractures involving thorax with lower back and pelvis,133,0,3,0,February 2009,matched (3)
SR16.00,28110,fract invol thorax with lower back and pelvis with limb(s),5,0,0,0,February 2009,matched (3)
SR16000,57223,closed fracture inv thorax wth low back and pelvis and limbs,3,0,0,0,February 2009,matched (3)
Syu3400,53802,[x]fract of other and unspec parts of lumbar spine & pelvis,12,0,0,0,February 2009,matched (3)
