readcode,medcode,readterm,clinicalevents,immunisationevents,referralevents,testevents,databaserelease,keep,clinevents,immevents,refevents,dbasebuild,_merge
N331A00,48772,osteoporosis + pathological fracture cervical vertebrae,43,0,2,0,February 2009,1,29,0,2,February 2009,matched (3)
N331B00,38395,postmenopausal osteoporosis with pathological fracture,145,0,3,0,February 2009,1,122,0,3,February 2009,matched (3)
N331C00,37945,pathological fracture of cervical vertebra,38,0,0,0,February 2009,1,25,0,0,February 2009,matched (3)
N331M00,11503,fragility fracture due to unspecified osteoporosis,11244,0,79,0,February 2009,1,7103,0,68,February 2009,matched (3)
N331M11,93705,minimal trauma fracture due to unspecified osteoporosis,16,0,1,0,February 2009,1,8,0,1,February 2009,matched (3)
N331N00,93497,fragility fracture,79664,0,597,0,February 2009,1,53411,0,527,February 2009,matched (3)
N331N11,93981,minimal trauma fracture,96,0,4,0,February 2009,1,62,0,4,February 2009,matched (3)
N331y00,29332,other specified pathological fracture,43,0,0,0,February 2009,1,37,0,0,February 2009,matched (3)
N331z00,62343,pathological fracture nos,61,0,0,0,February 2009,1,36,0,0,February 2009,matched (3)
NyuB000,57301,[x]other osteoporosis with pathological fracture,38,0,1,0,February 2009,1,28,0,1,February 2009,matched (3)
NyuB800,18825,[x]unspecified osteoporosis with pathological fracture,464,0,13,0,February 2009,1,385,0,12,February 2009,matched (3)
S0...00,721,fracture of skull,42842,0,1177,3,February 2009,1,32377,0,1113,February 2009,matched (3)
S00..00,15184,fracture of vault of skull,2447,0,125,1,February 2009,1,2023,0,118,February 2009,matched (3)
S00..11,3809,frontal bone fracture,966,0,26,0,February 2009,1,704,0,24,February 2009,matched (3)
S00..12,8573,parietal bone fracture,3541,0,80,0,February 2009,1,2701,0,72,February 2009,matched (3)
S000.00,47842,closed fracture vault of skull without intracranial injury,160,0,0,0,February 2009,1,90,0,0,February 2009,matched (3)
S001.00,27657,closed fracture vault of skull with intracranial injury,46,0,0,0,February 2009,1,30,0,0,February 2009,matched (3)
S002.00,57246,open fracture vault of skull without intracranial injury,22,0,0,0,February 2009,1,12,0,0,February 2009,matched (3)
S003.00,51299,open fracture vault of skull with intracranial injury,12,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S00z.00,20195,fracture of vault of skull nos,137,0,0,0,February 2009,1,95,0,0,February 2009,matched (3)
S01..00,2461,fracture of base of skull,1623,0,49,1,February 2009,1,1131,0,48,February 2009,matched (3)
S01..11,59798,anterior fossa fracture,34,0,0,0,February 2009,1,28,0,0,February 2009,matched (3)
S01..12,30707,ethmoid sinus fracture,83,0,0,0,February 2009,1,65,0,0,February 2009,matched (3)
S01..13,41675,frontal sinus fracture,169,0,0,0,February 2009,1,114,0,0,February 2009,matched (3)
S01..14,24135,middle fossa fracture,12,0,0,0,February 2009,1,11,0,0,February 2009,matched (3)
S01..15,9736,occiput bone fracture,1735,0,4,0,February 2009,1,1252,0,4,February 2009,matched (3)
S01..16,37609,orbital roof fracture,266,0,4,0,February 2009,1,165,0,2,February 2009,matched (3)
S01..17,61757,posterior fossa fracture,15,0,0,0,February 2009,1,10,0,0,February 2009,matched (3)
S01..18,37686,sphenoid bone fracture,82,0,0,0,February 2009,1,51,0,0,February 2009,matched (3)
S01..19,5567,temporal bone fracture,1337,0,19,0,February 2009,1,940,0,19,February 2009,matched (3)
S010.00,62977,closed fracture base of skull without intracranial injury,54,0,0,0,February 2009,1,30,0,0,February 2009,matched (3)
S011.00,63679,closed fracture base of skull with intracranial injury,36,0,0,0,February 2009,1,22,0,0,February 2009,matched (3)
S012.00,69737,open fracture base skull without mention intracranial injury,5,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S013.00,97064,open fracture base of skull with intracranial injury,3,0,0,0,July 2009,1,3,0,0,July 2009,matched (3)
S01z.00,33593,fracture of base of skull nos,253,0,1,0,February 2009,1,160,0,1,February 2009,matched (3)
S02..00,9103,fracture of face bones,7974,0,285,3,February 2009,1,4779,0,251,February 2009,matched (3)
S020.00,417,closed fracture nose,100953,0,7020,15,February 2009,1,78451,0,6643,February 2009,matched (3)
S020.11,9771,closed fracture nasal bone,7509,0,261,0,February 2009,1,5073,0,227,February 2009,matched (3)
S021.00,3408,open fracture nose,1394,0,69,1,February 2009,1,1057,0,66,February 2009,matched (3)
S021.11,37192,open fracture nasal bone,199,0,6,0,February 2009,1,129,0,5,February 2009,matched (3)
S022.00,2642,"fracture of mandible, closed",22921,0,1033,3,February 2009,1,18289,0,988,February 2009,matched (3)
S022.11,62716,"fracture of inferior maxilla, closed",73,0,0,0,February 2009,1,30,0,0,February 2009,matched (3)
S022.12,16890,"fracture of lower jaw, closed",646,0,7,0,February 2009,1,467,0,7,February 2009,matched (3)
S022000,29091,closed fracture mandible (site unspecified),397,0,2,0,February 2009,1,261,0,2,February 2009,matched (3)
S022100,12179,"closed fracture of mandible, condylar process",616,0,2,0,February 2009,1,409,0,2,February 2009,matched (3)
S022200,41730,"closed fracture of mandible, subcondylar",172,0,2,0,February 2009,1,90,0,1,February 2009,matched (3)
S022300,59341,"closed fracture of mandible, coronoid process",43,0,0,0,February 2009,1,24,0,0,February 2009,matched (3)
S022400,28913,"closed fracture of mandible, ramus, unspecified",119,0,0,0,February 2009,1,76,0,0,February 2009,matched (3)
S022500,41707,"closed fracture of mandible, angle of jaw",327,0,1,0,February 2009,1,215,0,1,February 2009,matched (3)
S022600,71583,"closed fracture of mandible, symphysis of body",76,0,0,0,February 2009,1,52,0,0,February 2009,matched (3)
S022700,57190,"closed fracture of mandible, alveolar border of body",21,0,0,0,February 2009,1,11,0,0,February 2009,matched (3)
S022800,59006,"closed fracture of mandible, body, other and unspecified",114,0,1,0,February 2009,1,67,0,1,February 2009,matched (3)
S022x00,37904,"closed fracture of mandible, multiple sites",105,0,1,0,February 2009,1,66,0,1,February 2009,matched (3)
S022z00,36268,"fracture of mandible, closed, nos",854,0,9,0,February 2009,1,483,0,8,February 2009,matched (3)
S023.00,38050,"fracture of mandible, open",644,0,16,0,February 2009,1,432,0,15,February 2009,matched (3)
S023.11,36772,"fracture of lower jaw, open",40,0,0,0,February 2009,1,26,0,0,February 2009,matched (3)
S023000,70673,open fracture mandible (site unspecified),21,0,0,0,February 2009,1,13,0,0,February 2009,matched (3)
S023100,60633,"open fracture of mandible, condylar process",17,0,0,0,February 2009,1,9,0,0,February 2009,matched (3)
S023200,99549,"open fracture of mandible, subcondylar",6,0,0,0,May 2010,1,1,0,0,May 2010,matched (3)
S023300,112595,"open fracture of mandible, coronoid process",2,0,0,0,April 2018,1,,,,,master only (1)
S023400,68660,"open fracture of mandible, ramus, unspecified",8,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S023500,55955,"open fracture of mandible, angle of jaw",10,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
S023600,104931,"open fracture of mandible, symphysis of body",3,0,0,0,September 2012,1,1,0,0,September 2012,matched (3)
S023700,106283,"open fracture of mandible, alveolar border of body",3,0,0,0,June 2013,1,1,0,0,June 2013,matched (3)
S023800,60260,"open fracture of mandible, body, other and unspecified",5,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S023x00,54553,"open fracture of mandible, multiple sites",11,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S023z00,60239,"fracture of mandible, open, nos",31,0,0,0,February 2009,1,16,0,0,February 2009,matched (3)
S024.00,14878,"fracture of malar or maxillary bones, closed",4794,0,295,1,February 2009,1,3831,0,289,February 2009,matched (3)
S024.11,36448,"fracture of upper jaw, closed",76,0,2,0,February 2009,1,56,0,2,February 2009,matched (3)
S024000,4225,closed fracture maxilla,2893,0,100,0,February 2009,1,2144,0,91,February 2009,matched (3)
S024100,2251,closed fracture zygoma,23350,0,547,1,February 2009,1,16702,0,502,February 2009,matched (3)
S024z00,49644,"fracture of malar or maxillary bones, closed, nos",366,0,0,0,February 2009,1,187,0,0,February 2009,matched (3)
S025.00,48636,"fracture of malar or maxillary bones, open",90,0,1,0,February 2009,1,59,0,1,February 2009,matched (3)
S025.11,70282,"fracture of upper jaw, open",8,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S025000,32011,open fracture maxilla,76,0,2,0,February 2009,1,56,0,2,February 2009,matched (3)
S025100,12462,open fracture zygoma,590,0,6,0,February 2009,1,423,0,6,February 2009,matched (3)
S025z00,68940,"fracture of malar or maxillary bones, open, nos",16,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S026.00,24790,closed orbital blow-out fracture,1230,0,6,0,February 2009,1,831,0,5,February 2009,matched (3)
S027.00,33459,open orbital blow-out fracture,144,0,3,0,February 2009,1,77,0,3,February 2009,matched (3)
S028.00,30203,fracture of skull and facial bones,723,0,15,0,February 2009,1,368,0,15,February 2009,matched (3)
S028000,5280,fracture of nasal bones,22953,0,390,0,February 2009,1,13885,0,318,February 2009,matched (3)
S028100,20515,fracture of orbital floor,3220,0,30,0,February 2009,1,1976,0,21,February 2009,matched (3)
S028200,30028,fracture of malar and maxillary bones,1289,0,8,0,February 2009,1,643,0,8,February 2009,matched (3)
S028300,11161,fracture of mandible,12101,0,54,0,February 2009,1,7479,0,43,February 2009,matched (3)
S02A.00,44343,le fort i fracture maxilla,201,0,2,0,February 2009,1,108,0,2,February 2009,matched (3)
S02B.00,44949,le fort ii fracture maxilla,150,0,0,0,February 2009,1,89,0,0,February 2009,matched (3)
S02C.00,68981,le fort iii fracture maxilla,35,0,0,0,February 2009,1,20,0,0,February 2009,matched (3)
S02x.00,29119,closed fracture other facial bone,270,0,6,0,February 2009,1,143,0,5,February 2009,matched (3)
S02x000,27287,"fracture of alveolus, closed",265,0,27,0,February 2009,1,212,0,27,February 2009,matched (3)
S02x100,4978,"fracture of orbit nos, closed",3584,0,178,2,February 2009,1,2616,0,170,February 2009,matched (3)
S02x200,55531,"fracture of palate, closed",20,0,0,0,February 2009,1,14,0,0,February 2009,matched (3)
S02xz00,26408,"fracture of other facial bones, closed, nos",261,0,2,0,February 2009,1,153,0,2,February 2009,matched (3)
S02y.00,59233,open fracture other facial bone,17,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S02y000,49840,"fracture of alveolus, open",11,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S02y100,31153,"fracture of orbit nos, open",113,0,1,0,February 2009,1,73,0,1,February 2009,matched (3)
S02y200,104738,"fracture of palate, open",5,0,0,0,August 2012,1,1,0,0,August 2012,matched (3)
S02yz00,35312,"fracture of other facial bones,open, nos",9,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S02z.00,25631,fracture of facial bone nos,2021,0,17,0,February 2009,1,941,0,12,February 2009,matched (3)
S02z.11,17455,jaw fracture nos,3304,0,29,0,February 2009,1,2433,0,23,February 2009,matched (3)
S03..00,61388,other and unqualified skull fractures,18,0,0,0,February 2009,1,13,0,0,February 2009,matched (3)
S030.00,57644,closed fracture of skull nos without intracranial injury,49,0,0,0,February 2009,1,27,0,0,February 2009,matched (3)
S031.00,27492,closed fracture of skull nos with intracranial injury,42,0,3,0,February 2009,1,34,0,3,February 2009,matched (3)
S033.00,67603,open fracture of skull nos with intracranial injury,8,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S03z.00,57328,skull fracture nos,814,0,1,0,February 2009,1,577,0,1,February 2009,matched (3)
S03z.11,23780,depressed skull fracture nos,740,0,3,0,February 2009,1,530,0,3,February 2009,matched (3)
S04..00,46142,multiple fractures involving skull or face with other bones,310,0,2,0,February 2009,1,222,0,2,February 2009,matched (3)
S04..11,31797,multiple face fractures,136,0,0,0,February 2009,1,87,0,0,February 2009,matched (3)
S04..12,39859,multiple skull fractures,139,0,0,0,February 2009,1,98,0,0,February 2009,matched (3)
S044.00,33515,multiple fractures involving skull and facial bones,430,0,10,0,February 2009,1,289,0,10,February 2009,matched (3)
S04z.00,50247,multiple fractures involving skull/face with other bones nos,23,0,0,0,February 2009,1,13,0,0,February 2009,matched (3)
S0z..00,33692,fracture of skull nos,1644,0,9,2,February 2009,1,952,0,7,February 2009,matched (3)
S1...00,10252,fracture of neck and trunk,1486,0,34,0,February 2009,1,1217,0,28,February 2009,matched (3)
S10..00,8255,fracture of spine without mention of spinal cord injury,5386,0,51,0,February 2009,1,3167,0,43,February 2009,matched (3)
S10..11,30058,fracture of transverse process spine - no spinal cord lesion,745,0,4,0,February 2009,1,508,0,3,February 2009,matched (3)
S10..12,4409,fracture of vertebra without spinal cord lesion,4297,0,171,0,February 2009,1,3294,0,152,February 2009,matched (3)
S100.00,11296,closed fracture of cervical spine,4429,0,61,0,February 2009,1,2939,0,51,February 2009,matched (3)
S100.11,112617,closed fracture of atlas without spinal cord lesion,1,0,0,0,April 2018,1,,,,,master only (1)
S100000,15613,closed fracture of unspecified cervical vertebra,545,0,58,0,February 2009,1,463,0,56,February 2009,matched (3)
S100100,5445,closed fracture atlas,128,0,1,0,February 2009,1,93,0,1,February 2009,matched (3)
S100111,42561,c1 vertebra closed fracture - no spinal cord lesion,128,0,2,0,February 2009,1,71,0,0,February 2009,matched (3)
S100200,16277,closed fracture axis,271,0,23,0,February 2009,1,221,0,22,February 2009,matched (3)
S100211,33967,c2 vertebra closed fracture without spinal cord lesion,279,0,1,0,February 2009,1,181,0,0,February 2009,matched (3)
S100300,60593,closed fracture of third cervical vertebra,59,0,0,0,February 2009,1,37,0,0,February 2009,matched (3)
S100311,52699,c3 vertebra closed fracture without spinal cord lesion,35,0,0,0,February 2009,1,21,0,0,February 2009,matched (3)
S100400,41548,closed fracture of fourth cervical vertebra,77,0,0,0,February 2009,1,51,0,0,February 2009,matched (3)
S100411,67358,c4 vertebra closed fracture without spinal cord lesion,43,0,0,0,February 2009,1,35,0,0,February 2009,matched (3)
S100500,27575,closed fracture of fifth cervical vertebra,194,0,3,0,February 2009,1,117,0,3,February 2009,matched (3)
S100511,34873,c5 vertebra closed fracture without spinal cord lesion,95,0,2,0,February 2009,1,54,0,2,February 2009,matched (3)
S100600,27654,closed fracture of sixth cervical vertebra,193,0,4,0,February 2009,1,135,0,4,February 2009,matched (3)
S100611,33503,c6 vertebra closed fracture without spinal cord lesion,116,0,0,0,February 2009,1,71,0,0,February 2009,matched (3)
S100700,24672,closed fracture of seventh cervical vertebra,238,0,1,0,February 2009,1,157,0,1,February 2009,matched (3)
S100711,38053,c7 vertebra closed fracture without spinal cord lesion,161,0,0,0,February 2009,1,98,0,0,February 2009,matched (3)
S100800,98393,"closed fracture atlas, isolated arch or articular process",5,0,0,0,January 2010,1,3,0,0,January 2010,matched (3)
S100900,69974,"closed fracture atlas, comminuted",5,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S100A00,39887,"closed fracture axis, odontoid process",265,0,0,0,February 2009,1,177,0,0,February 2009,matched (3)
S100B00,105702,"closed fracture axis, spondylolysis",6,0,0,0,January 2013,1,1,0,0,January 2013,matched (3)
S100C00,42149,"closed fracture axis, spinous process",31,0,0,0,February 2009,1,13,0,0,February 2009,matched (3)
S100D00,94292,"closed fracture axis, transverse process",49,0,0,0,February 2009,1,16,0,0,February 2009,matched (3)
S100E00,95006,"closed fracture axis, posterior arch",4,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S100G00,67973,"closed fracture cervical vertebra, burst",14,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S100H00,53337,"closed fracture cervical vertebra, wedge",128,0,1,0,February 2009,1,55,0,1,February 2009,matched (3)
S100J00,95620,"closed fracture cervical vertebra, spondylolysis",4,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S100K00,54299,"closed fracture cervical vertebra, spinous process",112,0,0,0,February 2009,1,60,0,0,February 2009,matched (3)
S100L00,64297,"closed fracture cervical vertebra, transverse process",25,0,1,0,February 2009,1,17,0,1,February 2009,matched (3)
S100M00,95513,"closed fracture cervical vertebra, posterior arch",7,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S100x00,55346,multiple closed fractures of cervical vertebrae,76,0,0,0,February 2009,1,36,0,0,February 2009,matched (3)
S100z00,41930,closed fracture of cervical spine not otherwise specified,112,0,0,0,February 2009,1,74,0,0,February 2009,matched (3)
S101.00,55627,open fracture of cervical spine,30,0,1,0,February 2009,1,18,0,1,February 2009,matched (3)
S101000,101574,open fracture of unspecified cervical vertebra,5,0,0,0,January 2011,1,3,0,0,January 2011,matched (3)
S101100,69645,open fracture atlas,2,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S101111,69098,c1 vertebra open fracture without spinal cord lesion,6,0,2,0,February 2009,1,6,0,2,February 2009,matched (3)
S101200,53976,open fracture axis,1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S101211,97120,c2 vertebra open fracture without spinal cord lesion,11,0,1,0,August 2009,1,5,0,1,August 2009,matched (3)
S101311,60382,c3 vertebra open fracture without spinal cord lesion,1,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S101400,114569,open fracture of fourth cervical vertebra,1,0,0,0,December 2019,1,,,,,master only (1)
S101411,112794,c4 vertebra open fracture without spinal cord lesion,1,0,0,0,July 2018,1,,,,,master only (1)
S101500,24671,open fracture of fifth cervical vertebra,2,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S101511,99151,c5 vertebra open fracture without spinal cord lesion,6,0,0,0,April 2010,1,4,0,0,April 2010,matched (3)
S101600,65300,open fracture of sixth cervical vertebra,6,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S101611,62719,c6 vertebra open fracture without spinal cord lesion,8,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S101700,112983,open fracture of seventh cervical vertebra,2,0,0,0,October 2018,1,,,,,master only (1)
S101711,59996,c7 vertebra open fracture without spinal cord lesion,4,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S101900,110732,"open fracture atlas, comminuted",2,0,0,0,April 2016,1,1,0,0,April 2016,matched (3)
S101A00,94844,"open fracture axis, odontoid process",2,0,0,0,February 2009,1,1,0,0,February 2009,matched (3)
S101B00,113882,"open fracture axis, spondylolysis",2,0,0,0,June 2019,1,,,,,master only (1)
S101D00,112905,"open fracture axis, transverse process",1,0,0,0,September 2018,1,,,,,master only (1)
S101x00,72617,multiple open fractures of cervical vertebrae,2,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S102.00,27404,closed fracture thoracic vertebra,5135,0,72,0,February 2009,1,3301,0,66,February 2009,matched (3)
S102000,39816,"closed fracture thoracic vertebra, burst",56,0,0,0,February 2009,1,35,0,0,February 2009,matched (3)
S102100,28524,"closed fracture thoracic vertebra, wedge",3024,0,50,0,February 2009,1,1929,0,44,February 2009,matched (3)
S102200,96659,"closed fracture thoracic vertebra, spondylolysis",3,0,0,0,April 2009,1,2,0,0,April 2009,matched (3)
S102300,64872,"closed fracture thoracic vertebra, spinous process",35,0,0,0,February 2009,1,18,0,0,February 2009,matched (3)
S102400,48886,"closed fracture thoracic vertebra, transverse process",45,0,0,0,February 2009,1,26,0,0,February 2009,matched (3)
S102500,99516,"closed fracture thoracic vertebra, posterior arch",1,0,0,0,May 2010,1,1,0,0,May 2010,matched (3)
S102y00,11770,other specified closed fracture thoracic vertebra,103,0,0,0,February 2009,1,66,0,0,February 2009,matched (3)
S102z00,41138,closed fracture thoracic vertebra not otherwise specified,199,0,4,0,February 2009,1,131,0,1,February 2009,matched (3)
S103.00,63253,open fracture thoracic vertebra,35,0,1,0,February 2009,1,17,0,0,February 2009,matched (3)
S103100,62047,"open fracture thoracic vertebra, wedge",26,0,0,0,February 2009,1,16,0,0,February 2009,matched (3)
S103500,101318,"open fracture thoracic vertebra, posterior arch",1,0,0,0,January 2011,1,1,0,0,January 2011,matched (3)
S104.00,3888,closed fracture lumbar vertebra,12108,0,311,2,February 2009,1,8191,0,284,February 2009,matched (3)
S104000,42968,"closed fracture lumbar vertebra, burst",187,0,1,0,February 2009,1,109,0,1,February 2009,matched (3)
S104100,8266,"closed fracture lumbar vertebra, wedge",7994,0,154,0,February 2009,1,5181,0,118,February 2009,matched (3)
S104200,61150,"closed fracture lumbar vertebra, spondylolysis",21,0,0,0,February 2009,1,13,0,0,February 2009,matched (3)
S104300,35096,"closed fracture lumbar vertebra, spinous process",48,0,0,0,February 2009,1,24,0,0,February 2009,matched (3)
S104400,29089,"closed fracture lumbar vertebra, transverse process",369,0,3,0,February 2009,1,249,0,2,February 2009,matched (3)
S104500,95842,"closed fracture lumbar vertebra, posterior arch",6,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S104600,95585,"closed fracture lumbar vertebra, tricolumnar",10,0,0,0,February 2009,1,8,0,0,February 2009,matched (3)
S105.00,42780,open fracture lumbar vertebra,91,0,2,0,February 2009,1,62,0,1,February 2009,matched (3)
S105000,73601,"open fracture lumbar vertebra, burst",6,0,0,0,February 2009,1,4,0,0,February 2009,matched (3)
S105100,65302,"open fracture lumbar vertebra, wedge",14,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
S105400,105695,"open fracture lumbar vertebra, transverse process",4,0,0,0,January 2013,1,2,0,0,January 2013,matched (3)
S106.00,15877,closed fracture sacrum,1863,0,53,0,February 2009,1,1371,0,53,February 2009,matched (3)
S106000,72404,closed compression fracture sacrum,53,0,1,0,February 2009,1,27,0,0,February 2009,matched (3)
S106100,72600,closed vertical fracture of sacrum,11,0,0,0,February 2009,1,9,0,0,February 2009,matched (3)
S107.00,66434,open fracture sacrum,14,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
S107000,105935,open compression fracture sacrum,4,0,0,0,April 2013,1,2,0,0,April 2013,matched (3)
S107100,97354,open vertical fracture of sacrum,1,0,0,0,August 2009,1,1,0,0,August 2009,matched (3)
S108.00,14834,"closed fracture pelvis, coccyx",2252,0,97,1,February 2009,1,1778,0,95,February 2009,matched (3)
S109.00,55280,"open fracture pelvis, coccyx",15,0,1,0,February 2009,1,10,0,1,February 2009,matched (3)
S10A.00,3288,fracture of neck,1198,0,58,0,February 2009,1,901,0,55,February 2009,matched (3)
S10A000,28133,fracture of first cervical vertebra,143,0,1,0,February 2009,1,97,0,1,February 2009,matched (3)
S10A100,34403,fracture of second cervical vertebra,348,0,4,0,February 2009,1,222,0,4,February 2009,matched (3)
S10A200,19189,multiple fractures of cervical spine,758,0,15,0,February 2009,1,546,0,13,February 2009,matched (3)
S10B.00,12406,fracture of lumbar spine and pelvis,794,0,22,0,February 2009,1,503,0,18,February 2009,matched (3)
S10B000,10990,fracture of lumbar vertebra,4343,0,26,0,February 2009,1,2689,0,23,February 2009,matched (3)
S10B100,3675,fracture of sacrum,1381,0,39,0,February 2009,1,1000,0,39,February 2009,matched (3)
S10B200,835,fracture of coccyx,3993,0,166,1,February 2009,1,2996,0,152,February 2009,matched (3)
S10B300,27922,fracture of ilium,531,0,1,0,February 2009,1,374,0,1,February 2009,matched (3)
S10B400,9072,fracture of acetabulum,3390,0,38,0,February 2009,1,2420,0,33,February 2009,matched (3)
S10B500,2328,fracture of pubis,4525,0,366,2,February 2009,1,3729,0,347,February 2009,matched (3)
S10B600,8613,multiple fractures of lumbar spine and pelvis,728,0,14,0,February 2009,1,559,0,13,February 2009,matched (3)
S10x.00,3573,"closed fracture of spine, unspecified,",9007,0,808,5,February 2009,1,7573,0,769,February 2009,matched (3)
S10y.00,66164,"open fracture of spine, unspecified,",11,0,0,0,February 2009,1,9,0,0,February 2009,matched (3)
S10z.00,34166,fracture of spine without mention of spinal cord lesion nos,502,0,3,0,February 2009,1,285,0,3,February 2009,matched (3)
S11..00,32063,fracture of spine with spinal cord lesion,331,0,16,0,February 2009,1,234,0,13,February 2009,matched (3)
S11..11,72324,fracture of transverse process of spine + spinal cord lesion,9,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
S11..12,43786,fracture of vertebra with spinal cord lesion,59,0,0,0,February 2009,1,50,0,0,February 2009,matched (3)
S110.00,52300,closed fracture of cervical spine with cord lesion,99,0,0,0,February 2009,1,71,0,0,February 2009,matched (3)
S110000,62337,"cls spinal fracture with unspec cervical cord lesion, c1-4",8,0,0,0,February 2009,1,5,0,0,February 2009,matched (3)
S110100,109377,"cls spinal fracture with complete cervcl cord lesion, c1-4",3,0,0,0,March 2015,1,1,0,0,March 2015,matched (3)
S110400,114662,"cls spinal fracture with posterior cervcl cord lesion, c1-4",1,0,0,0,February 2020,1,,,,,master only (1)
S110600,72711,"cls spinal fracture with unspec cervical cord lesion, c5-7",8,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
S110700,102735,"cls spinal fracture with complete cervcl cord lesion, c5-7",5,0,0,0,August 2011,1,3,0,0,August 2011,matched (3)
S110800,96514,"cls spinal fracture with anterior cervcl cord lesion, c5-7",2,0,0,0,April 2009,1,1,0,0,April 2009,matched (3)
S110z00,73416,closed fracture of cervical spine with cord lesion nos,5,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S111.00,69432,open fracture of cervical spine with spinal cord lesion,2,0,0,0,February 2009,1,2,0,0,February 2009,matched (3)
S112.00,35849,closed fracture of thoracic spine with spinal cord lesion,103,0,4,0,February 2009,1,78,0,3,February 2009,matched (3)
S112000,108484,"cls spinal fracture with unspec thoracic cord lesion,t1-6",3,0,0,0,August 2014,1,2,0,0,August 2014,matched (3)
S112100,48958,"cls spinal fracture wth complete thoracic cord lesion,t1-6",4,0,0,0,February 2009,1,3,0,0,February 2009,matched (3)
S112600,43091,"cls spinal fracture with unspec thoracic cord lesion, t7-12",16,0,0,0,February 2009,1,12,0,0,February 2009,matched (3)
