readcode,medcode,readterm,clinicalevents,immunisationevents,referralevents,testevents,databaserelease,clinevents,immevents,refevents,dbasebuild,_merge
S100111,42561,c1 vertebra closed fracture - no spinal cord lesion,128,0,2,0,February 2009,71,0,0,February 2009,matched (3)
S100211,33967,c2 vertebra closed fracture without spinal cord lesion,279,0,1,0,February 2009,181,0,0,February 2009,matched (3)
S100300,60593,closed fracture of third cervical vertebra,59,0,0,0,February 2009,37,0,0,February 2009,matched (3)
S100311,52699,c3 vertebra closed fracture without spinal cord lesion,35,0,0,0,February 2009,21,0,0,February 2009,matched (3)
S100400,41548,closed fracture of fourth cervical vertebra,77,0,0,0,February 2009,51,0,0,February 2009,matched (3)
S100411,67358,c4 vertebra closed fracture without spinal cord lesion,43,0,0,0,February 2009,35,0,0,February 2009,matched (3)
S100500,27575,closed fracture of fifth cervical vertebra,194,0,3,0,February 2009,117,0,3,February 2009,matched (3)
S100511,34873,c5 vertebra closed fracture without spinal cord lesion,95,0,2,0,February 2009,54,0,2,February 2009,matched (3)
S100600,27654,closed fracture of sixth cervical vertebra,193,0,4,0,February 2009,135,0,4,February 2009,matched (3)
S100611,33503,c6 vertebra closed fracture without spinal cord lesion,116,0,0,0,February 2009,71,0,0,February 2009,matched (3)
S100700,24672,closed fracture of seventh cervical vertebra,238,0,1,0,February 2009,157,0,1,February 2009,matched (3)
S100711,38053,c7 vertebra closed fracture without spinal cord lesion,161,0,0,0,February 2009,98,0,0,February 2009,matched (3)
S100G00,67973,"closed fracture cervical vertebra, burst",14,0,0,0,February 2009,5,0,0,February 2009,matched (3)
S100H00,53337,"closed fracture cervical vertebra, wedge",128,0,1,0,February 2009,55,0,1,February 2009,matched (3)
S100J00,95620,"closed fracture cervical vertebra, spondylolysis",4,0,0,0,February 2009,3,0,0,February 2009,matched (3)
S100K00,54299,"closed fracture cervical vertebra, spinous process",112,0,0,0,February 2009,60,0,0,February 2009,matched (3)
S100L00,64297,"closed fracture cervical vertebra, transverse process",25,0,1,0,February 2009,17,0,1,February 2009,matched (3)
S100M00,95513,"closed fracture cervical vertebra, posterior arch",7,0,0,0,February 2009,5,0,0,February 2009,matched (3)
S100x00,55346,multiple closed fractures of cervical vertebrae,76,0,0,0,February 2009,36,0,0,February 2009,matched (3)
S100z00,41930,closed fracture of cervical spine not otherwise specified,112,0,0,0,February 2009,74,0,0,February 2009,matched (3)
S101.00,55627,open fracture of cervical spine,30,0,1,0,February 2009,18,0,1,February 2009,matched (3)
S101000,101574,open fracture of unspecified cervical vertebra,5,0,0,0,January 2011,3,0,0,January 2011,matched (3)
S101111,69098,c1 vertebra open fracture without spinal cord lesion,6,0,2,0,February 2009,6,0,2,February 2009,matched (3)
S101211,97120,c2 vertebra open fracture without spinal cord lesion,11,0,1,0,August 2009,5,0,1,August 2009,matched (3)
S101311,60382,c3 vertebra open fracture without spinal cord lesion,1,0,0,0,February 2009,1,0,0,February 2009,matched (3)
S101400,114569,open fracture of fourth cervical vertebra,1,0,0,0,December 2019,,,,,master only (1)
S101411,112794,c4 vertebra open fracture without spinal cord lesion,1,0,0,0,July 2018,,,,,master only (1)
S101500,24671,open fracture of fifth cervical vertebra,2,0,0,0,February 2009,2,0,0,February 2009,matched (3)
S101511,99151,c5 vertebra open fracture without spinal cord lesion,6,0,0,0,April 2010,4,0,0,April 2010,matched (3)
S101600,65300,open fracture of sixth cervical vertebra,6,0,0,0,February 2009,5,0,0,February 2009,matched (3)
S101611,62719,c6 vertebra open fracture without spinal cord lesion,8,0,0,0,February 2009,3,0,0,February 2009,matched (3)
S101700,112983,open fracture of seventh cervical vertebra,2,0,0,0,October 2018,,,,,master only (1)
S101711,59996,c7 vertebra open fracture without spinal cord lesion,4,0,0,0,February 2009,3,0,0,February 2009,matched (3)
S101x00,72617,multiple open fractures of cervical vertebrae,2,0,0,0,February 2009,2,0,0,February 2009,matched (3)
S102.00,27404,closed fracture thoracic vertebra,5135,0,72,0,February 2009,3301,0,66,February 2009,matched (3)
S102000,39816,"closed fracture thoracic vertebra, burst",56,0,0,0,February 2009,35,0,0,February 2009,matched (3)
S102100,28524,"closed fracture thoracic vertebra, wedge",3024,0,50,0,February 2009,1929,0,44,February 2009,matched (3)
S102200,96659,"closed fracture thoracic vertebra, spondylolysis",3,0,0,0,April 2009,2,0,0,April 2009,matched (3)
S102300,64872,"closed fracture thoracic vertebra, spinous process",35,0,0,0,February 2009,18,0,0,February 2009,matched (3)
S102400,48886,"closed fracture thoracic vertebra, transverse process",45,0,0,0,February 2009,26,0,0,February 2009,matched (3)
S102500,99516,"closed fracture thoracic vertebra, posterior arch",1,0,0,0,May 2010,1,0,0,May 2010,matched (3)
S102y00,11770,other specified closed fracture thoracic vertebra,103,0,0,0,February 2009,66,0,0,February 2009,matched (3)
S102z00,41138,closed fracture thoracic vertebra not otherwise specified,199,0,4,0,February 2009,131,0,1,February 2009,matched (3)
S103.00,63253,open fracture thoracic vertebra,35,0,1,0,February 2009,17,0,0,February 2009,matched (3)
S103100,62047,"open fracture thoracic vertebra, wedge",26,0,0,0,February 2009,16,0,0,February 2009,matched (3)
S103500,101318,"open fracture thoracic vertebra, posterior arch",1,0,0,0,January 2011,1,0,0,January 2011,matched (3)
S104.00,3888,closed fracture lumbar vertebra,12108,0,311,2,February 2009,8191,0,284,February 2009,matched (3)
S104000,42968,"closed fracture lumbar vertebra, burst",187,0,1,0,February 2009,109,0,1,February 2009,matched (3)
S104100,8266,"closed fracture lumbar vertebra, wedge",7994,0,154,0,February 2009,5181,0,118,February 2009,matched (3)
S104200,61150,"closed fracture lumbar vertebra, spondylolysis",21,0,0,0,February 2009,13,0,0,February 2009,matched (3)
S104300,35096,"closed fracture lumbar vertebra, spinous process",48,0,0,0,February 2009,24,0,0,February 2009,matched (3)
S104400,29089,"closed fracture lumbar vertebra, transverse process",369,0,3,0,February 2009,249,0,2,February 2009,matched (3)
S104500,95842,"closed fracture lumbar vertebra, posterior arch",6,0,0,0,February 2009,4,0,0,February 2009,matched (3)
S104600,95585,"closed fracture lumbar vertebra, tricolumnar",10,0,0,0,February 2009,8,0,0,February 2009,matched (3)
S105.00,42780,open fracture lumbar vertebra,91,0,2,0,February 2009,62,0,1,February 2009,matched (3)
S105000,73601,"open fracture lumbar vertebra, burst",6,0,0,0,February 2009,4,0,0,February 2009,matched (3)
S105100,65302,"open fracture lumbar vertebra, wedge",14,0,0,0,February 2009,6,0,0,February 2009,matched (3)
S105400,105695,"open fracture lumbar vertebra, transverse process",4,0,0,0,January 2013,2,0,0,January 2013,matched (3)
S10A.00,3288,fracture of neck,1198,0,58,0,February 2009,,,,,master only (1)
S10A000,28133,fracture of first cervical vertebra,143,0,1,0,February 2009,97,0,1,February 2009,matched (3)
S10A100,34403,fracture of second cervical vertebra,348,0,4,0,February 2009,222,0,4,February 2009,matched (3)
S10A200,19189,multiple fractures of cervical spine,758,0,15,0,February 2009,546,0,13,February 2009,matched (3)
S10B.00,12406,fracture of lumbar spine and pelvis,794,0,22,0,February 2009,503,0,18,February 2009,matched (3)
S10B000,10990,fracture of lumbar vertebra,4343,0,26,0,February 2009,2689,0,23,February 2009,matched (3)
S10B600,8613,multiple fractures of lumbar spine and pelvis,728,0,14,0,February 2009,559,0,13,February 2009,matched (3)
S10x.00,3573,"closed fracture of spine, unspecified,",9007,0,808,5,February 2009,7573,0,769,February 2009,matched (3)
S10y.00,66164,"open fracture of spine, unspecified,",11,0,0,0,February 2009,9,0,0,February 2009,matched (3)
S10z.00,34166,fracture of spine without mention of spinal cord lesion nos,502,0,3,0,February 2009,285,0,3,February 2009,matched (3)
S11..00,32063,fracture of spine with spinal cord lesion,331,0,16,0,February 2009,234,0,13,February 2009,matched (3)
S11..11,72324,fracture of transverse process of spine + spinal cord lesion,9,0,0,0,February 2009,7,0,0,February 2009,matched (3)
S11..12,43786,fracture of vertebra with spinal cord lesion,59,0,0,0,February 2009,50,0,0,February 2009,matched (3)
S110.00,52300,closed fracture of cervical spine with cord lesion,99,0,0,0,February 2009,71,0,0,February 2009,matched (3)
S110000,62337,"cls spinal fracture with unspec cervical cord lesion, c1-4",8,0,0,0,February 2009,5,0,0,February 2009,matched (3)
S110100,109377,"cls spinal fracture with complete cervcl cord lesion, c1-4",3,0,0,0,March 2015,1,0,0,March 2015,matched (3)
S110400,114662,"cls spinal fracture with posterior cervcl cord lesion, c1-4",1,0,0,0,February 2020,,,,,master only (1)
S110600,72711,"cls spinal fracture with unspec cervical cord lesion, c5-7",8,0,0,0,February 2009,7,0,0,February 2009,matched (3)
S110700,102735,"cls spinal fracture with complete cervcl cord lesion, c5-7",5,0,0,0,August 2011,3,0,0,August 2011,matched (3)
S110800,96514,"cls spinal fracture with anterior cervcl cord lesion, c5-7",2,0,0,0,April 2009,1,0,0,April 2009,matched (3)
S110z00,73416,closed fracture of cervical spine with cord lesion nos,5,0,0,0,February 2009,3,0,0,February 2009,matched (3)
S111.00,69432,open fracture of cervical spine with spinal cord lesion,2,0,0,0,February 2009,2,0,0,February 2009,matched (3)
S112.00,35849,closed fracture of thoracic spine with spinal cord lesion,103,0,4,0,February 2009,78,0,3,February 2009,matched (3)
S112000,108484,"cls spinal fracture with unspec thoracic cord lesion,t1-6",3,0,0,0,August 2014,2,0,0,August 2014,matched (3)
S112100,48958,"cls spinal fracture wth complete thoracic cord lesion,t1-6",4,0,0,0,February 2009,3,0,0,February 2009,matched (3)
S112600,43091,"cls spinal fracture with unspec thoracic cord lesion, t7-12",16,0,0,0,February 2009,12,0,0,February 2009,matched (3)
S112700,31545,"cls spinal fracture with complete thorac cord lesion, t7-12",6,0,0,0,February 2009,3,0,0,February 2009,matched (3)
S112800,114382,"cls spinal fracture with anterior thorac cord lesion, t7-12",1,0,0,0,November 2019,,,,,master only (1)
S112900,113268,"cls spinal fracture with central thoracid cord lesion, t7-12",2,0,0,0,February 2019,,,,,master only (1)
S112A00,102043,"cls spinal fracture with posterior thorac cord lesion, t7-12",1,0,0,0,April 2011,1,0,0,April 2011,matched (3)
S112z00,73611,closed fracture of thoracic spine with cord lesion nos,14,0,0,0,February 2009,7,0,0,February 2009,matched (3)
S113.00,60615,open fracture of thoracic spine with spinal cord lesion,7,0,0,0,February 2009,5,0,0,February 2009,matched (3)
S113000,101299,"opn spinal fracture with unspec thoracic cord lesion, t1-6",1,0,0,0,January 2011,1,0,0,January 2011,matched (3)
S113600,114268,"opn spinal fracture with unspec thoracic cord lesion, t7-12",1,0,0,0,November 2019,,,,,master only (1)
S113A00,104755,"opn spinal fracture with posterior thorac cord lesion, t7-12",1,0,0,0,August 2012,1,0,0,August 2012,matched (3)
S114.00,44059,closed fracture of lumbar spine with spinal cord lesion,59,0,5,0,February 2009,41,0,4,February 2009,matched (3)
S114000,49567,closed spinal fracture with unspecified lumbar cord lesion,7,0,0,0,February 2009,6,0,0,February 2009,matched (3)
S114100,95529,closed spinal fracture with complete lumbar cord lesion,3,0,0,0,February 2009,1,0,0,February 2009,matched (3)
S114500,73788,closed spinal fracture with cauda equina lesion,5,0,0,0,February 2009,3,0,0,February 2009,matched (3)
S115.00,94189,open fracture of lumbar spine with spinal cord lesion,0,0,0,0,February 2009,0,0,0,February 2009,matched (3)
S11x.00,30956,closed fracture of spine with spinal cord lesion unspecified,56,0,9,0,February 2009,56,0,9,February 2009,matched (3)
S11z.00,55195,fracture of spine with spinal cord lesion nos,20,0,0,0,February 2009,11,0,0,February 2009,matched (3)
S15..00,5381,fracture of thoracic vertebra,9665,0,148,0,February 2009,6186,0,122,February 2009,matched (3)
S150.00,11277,multiple fractures of thoracic spine,1682,0,49,0,February 2009,1145,0,36,February 2009,matched (3)
S150000,35260,closed multiple fractures of thoracic spine,205,0,3,0,February 2009,144,0,3,February 2009,matched (3)
S150100,66322,open multiple fracture of thoracic spine,1,0,0,0,February 2009,1,0,0,February 2009,matched (3)
Syu1500,94638,[x]fracture of other specified cervical vertebra,31,0,0,0,February 2009,12,0,0,February 2009,matched (3)
Syu3400,53802,[x]fract of other and unspec parts of lumbar spine & pelvis,12,0,0,0,February 2009,,,,,master only (1)
